accx,accy,accz,gyrx,gyry,gyrz
1.4521,-0.8427,1.976,-6.2256,-135.6201,28.4424
0.7853,-0.3044,2.2789,-25.6958,114.8682,128.2349
0.016,0.2268,1.7819,-120.4834,211.9141,140.0757
-0.6642,0.2273,0.1903,-249.0234,45.7764,71.167
-0.2955,-0.7362,-1.0835,-86.6089,-217.5293,-164.1235
1.5403,-1.3953,0.7712,126.8921,-193.0542,-41.687
1.3562,-0.3724,2.0153,8.2397,-83.4961,120.1782
0.531,0.493,2.2737,-63.0493,150.7568,124.3896
-0.126,0.866,1.366,-204.1626,224.9756,73.1812
-0.5392,0.067,0.118,-220.0928,124.8169,-65.7959
-0.2511,-0.661,-0.5177,-28.6255,-132.3853,-71.9604
1.1997,-1.2008,0.2915,88.2568,-264.4043,-54.8706
1.923,-0.4432,1.2708,27.9541,-153.6255,61.4014
1.2285,0.6769,2.094,5.3101,46.4478,107.7881
0.4878,0.8035,1.5714,-73.8525,199.0356,70.2515
-0.3837,0.5393,0.4326,-137.3901,205.8716,-24.1089
-0.4539,-0.1414,-0.2179,-136.6577,36.0718,-50.9644
0.4304,-1.1796,-0.2725,33.6304,-236.3892,-88.9893
1.7122,-0.6143,0.5879,121.0938,-164.856,-5.3101
1.8413,0.2,1.6859,64.8804,-70.8008,102.1729
1.0284,0.6932,1.6379,11.9629,129.4556,79.1016
0.2839,0.7072,1.0188,-106.4453,204.5288,74.0356
-0.3306,0.4329,0.3752,-156.7993,137.3291,0.1831
-0.3553,-0.3278,-0.29,-94.1772,-74.5239,-72.6318
0.9481,-1.3275,0.2274,61.0352,-294.3726,-63.8428
1.9459,-0.6088,0.6407,94.9707,-130.7373,30.1514
1.5135,0.3824,1.5756,26.2451,-10.376,92.5293
0.9042,0.6903,1.579,5.7983,143.3105,66.2231
0.2964,0.5231,0.8788,-58.7769,170.6543,50.9644
-0.2997,0.2794,0.0566,-117.2485,86.3647,2.3804
-0.1421,-0.7753,-0.807,-55.1147,-104.9194,-93.1396
1.209,-0.9237,0.1635,85.144,-226.0742,-43.2129
1.9861,-0.3395,0.9276,63.7207,-85.2051,76.7822
1.3389,0.5608,1.6788,37.5977,65.4907,99.7925
0.5149,0.8187,1.2969,-42.3584,130.9204,77.3926
-0.201,0.5889,0.4564,-122.8027,113.4644,16.4795
-0.4244,-0.1954,-0.406,-108.1543,-24.9634,-85.8154
0.6266,-1.4558,-0.2092,57.4341,-265.0146,-59.9365
1.8956,-0.4849,1.0197,115.6616,-107.9712,16.0522
1.6609,0.1606,1.8108,74.9512,59.6924,52.8564
0.891,0.4169,1.3492,9.9487,138.0005,80.0171
0.2509,0.5468,0.795,-54.2603,149.5972,66.7114
-0.2705,0.4265,0.1465,-129.4556,36.1938,57.0068
-0.1235,-0.2147,-0.3256,-81.604,-106.9336,-65.4907
1.3667,-1.1132,-0.0105,66.1621,-111.5723,-45.3491
1.8057,-0.0027,0.7821,82.0313,-88.4399,56.7627
1.5387,0.4858,1.3773,77.7588,81.4819,49.1943
0.7845,0.493,0.9662,-8.9111,103.5767,78.9185
0.2399,0.5474,0.5917,-120.2393,60.4858,105.4077
-0.1429,0.3782,0.2728,-135.498,-24.231,28.8086
0.1217,-0.6359,-0.256,-49.4385,-141.3574,-95.3369
1.6569,-0.76,0.178,129.0283,-120.7886,-41.3818
1.9631,-0.21,1.1781,121.1548,-41.8091,66.6504
1.3413,0.4888,1.3904,88.7451,97.29,79.2847
0.574,0.5636,1.0107,-3.54,116.9434,85.083
-0.1208,0.5811,0.4098,-115.2344,13.1226,57.4341
-0.1152,-0.2655,-0.147,-70.3125,-144.8364,-105.1636
1.5289,-1.4348,0.1089,120.9106,-126.9531,-63.4155
2.0763,-0.4891,1.0125,113.2813,-23.8647,84.0454
1.192,0.4243,1.3344,57.4341,106.0181,97.29
0.5278,0.772,1.0316,-68.3594,103.3325,85.7544
0.0955,0.6345,0.6692,-142.5781,20.2637,40.4663
0.1488,-0.2072,0.3149,-64.5142,-33.02,-146.2402
0.6279,-1.1227,0.0817,17.2729,-168.6401,-102.7222
1.6376,-1.3292,-0.1696,169.2505,-75.9888,-18.7378
1.7656,-0.0771,0.7904,90.332,-26.1841,130.8594
1.027,0.6482,1.4031,16.1133,95.0317,88.501
0.3307,0.7732,1.2292,-117.7368,110.2295,64.6362
-0.3119,0.2473,0.6979,-151.3062,71.4111,-6.1035
-0.2317,-0.8218,-0.2401,-82.3975,-119.873,-138.2446
1.5376,-1.1993,0.1364,119.6899,-123.7793,-71.0449
2.2004,-0.3693,0.912,107.4829,-22.583,76.9043
1.4087,0.4602,1.136,56.8237,112.3047,89.3555
0.4176,0.7773,0.8938,-85.3271,111.4502,110.9619
-0.2502,0.2764,0.5437,-146.4233,26.4893,-9.2773
-0.0635,-1.083,-0.3578,-74.585,-122.2534,-139.7705
1.3849,-1.0618,0.4149,86.4258,-159.9121,-19.9585
1.9506,-0.4772,0.8066,67.3218,-67.5659,90.3931
1.3309,0.4595,1.4076,18.7988,89.2944,101.9287
0.5455,0.4978,0.9451,-54.9927,179.8706,76.9653
-0.1737,0.5471,0.3912,-156.5552,97.6563,62.6221
-0.1814,-0.1937,-0.1224,-109.0088,-30.6396,-94.5435
0.7386,-1.5004,0.0193,37.0483,-319.3359,-99.8535
1.6488,-0.8091,0.2874,79.5898,-110.8398,32.1655
1.7552,0.1511,1.597,62.6831,10.8643,106.4453
1.0018,0.4032,1.4565,29.9072,175.5371,69.0918
0.158,0.6096,0.7799,-89.0503,188.1104,90.21
-0.3765,0.4142,0.2119,-150.1465,108.0322,13.1836
-0.2983,-0.6361,-0.5615,-109.0698,-81.7871,-119.0186
1.0865,-1.2981,0.1195,57.6172,-265.8081,-91.8579
1.6432,-0.6814,0.5511,100.8911,-141.4795,17.5781
1.7843,0.149,1.1971,58.3496,-14.6484,99.6704
1.1459,0.2958,1.2983,45.5933,148.3765,37.2925
0.2699,0.3516,0.6207,-76.355,181.5186,85.6323
-0.3402,0.3,0.0155,-146.6064,80.9326,36.9873
-0.1978,-0.9886,-0.7284,-73.1201,-196.9604,-106.2622
1.3447,-0.8937,0.4647,62.2559,-190.2466,-13.3667
1.699,-0.4762,0.9314,42.3584,-22.1558,112.3047
1.3516,0.4464,1.3508,84.7778,105.2246,65.2466
0.7618,0.4735,1.1108,-7.6904,208.9844,42.7856
0.0581,0.3744,0.4689,-116.5161,176.3916,70.1904
-0.3156,-0.2219,-0.3342,-164.1846,-45.7153,-25.7568
0.8403,-1.1914,-0.1692,32.1655,-233.9478,-35.5835
1.8461,-0.5664,0.4684,65.6128,-107.9712,47.6074
1.6766,0.2711,1.2236,58.96,58.5938,64.7583
1.022,0.511,1.0885,-10.0098,166.1377,54.3823
0.2206,0.4661,0.5353,-86.853,150.5737,40.8325
